word	pronunciation
ականջատ	ɑ k ɑ n ˈ d ͡ ʒ ɑ t
ականջներ	ɑ k ɑ n d ͡ ʒ ˈ n e ɾ
ականջօղ	ɑ k ɑ n ˈ d ͡ ʒ o ʁ
-ակերտ	ɑ ˈ k e ɾ t
ակիշ	ɑ ˈ k i ʃ
ակն	ˈ ɑ k ə n
ակն ընդ ական	ˈ ɑ k ə n   ə n t ʰ   ɑ ˈ k ɑ n
ակն ընդ ական, ատամն ընդ ատաման	ɑ k n   ə n d   ɑ ˈ k ɑ n   ɑ ˈ t ɑ m n   ə n d   ɑ t ɑ ˈ m ɑ n
ակնաբանություն	ɑ k n ɑ b ɑ n u ˈ t ʰ j u n
ակնաբուժություն	ɑ k n ɑ b u ʒ u ˈ t ʰ j u n
ակնախնձոր	ɑ k n ɑ χ ə n ˈ d ͡ z o ɾ
ակնածալի	ɑ k n ɑ t ͡ s ɑ ˈ l i
ակնածալից	ɑ k n ɑ t ͡ s ɑ ˈ l i t ͡ s ʰ
ակնածական	ɑ k n ɑ t ͡ s ɑ ˈ k ɑ n
ակնածանք	ɑ k n ɑ ˈ t ͡ s ɑ n k ʰ
ակնածել	ɑ k n ɑ ˈ t ͡ s e l
ակնածելի	ɑ k n ɑ t ͡ s e ˈ l i
ակնածիածան	ɑ k n ɑ t ͡ s i j ɑ ˈ t ͡ s ɑ n
ակնածոտ	ɑ k n ɑ ˈ t ͡ s o t
ակնածու	ɑ k n ɑ ˈ t ͡ s u
ակնածություն	ɑ k n ɑ t ͡ s u ˈ t ʰ j u n
ակնակապիճ	ɑ k n ɑ k ɑ ˈ p i t ͡ ʃ
ակնաղբյուր	ɑ k n ɑ χ ˈ p j u ɾ
ակնամոմ	ɑ k n ɑ ˈ m o m
ակնային	ɑ k n ɑ ˈ j i n
ակնարկ	ɑ k ˈ n ɑ ɾ k
ակնարկել	ɑ k n ɑ ɾ ˈ k e l
ակնեղեն	ɑ k n e ˈ ʁ e n
ակներև	ɑ k n e ˈ ɾ e v
ակներևաբար	ɑ k n e ɾ e v ɑ ˈ b ɑ ɾ
ակներևապես	ɑ k n e ɾ e v ɑ ˈ p e s
ակներևորեն	ɑ k n e ɾ e v o ˈ ɾ e n
ակնթարթ	ɑ k ə n ˈ t ʰ ɑ ɾ t ʰ
ակնկալել	ɑ k ə n k ɑ ˈ l e l
ակնկալիք	ɑ k ə n k ɑ ˈ l i k ʰ
ակնհայտ	ɑ k ə n ˈ h ɑ j t
ակնհայտնի	ɑ k ə n h ɑ j t ˈ n i
ակնոց	ɑ k ˈ n o t ͡ s ʰ
ակոս	ɑ ˈ k o s
ակորդեոն	ɑ k o ɾ d e ˈ o n
ակռա	ɑ k ˈ r ɑ
ակտինիում	ɑ k t i n i ˈ j u m
ակտիվ	ɑ k ˈ t i v
ակտիվորեն	ɑ k t i v o ˈ ɾ e n
ակրոբատ	ɑ k ɾ o ˈ b ɑ t
ակրոպոլիս	ɑ k ɾ o p o ˈ l i s
Ակրոտիրի և Դեկելիա	ɑ k ɾ o t i ˈ ɾ i   j e v   d e k e l i ˈ ɑ
ակութ	ɑ ˈ k u t ʰ
ակուլա	ɑ k u ˈ l ɑ
ակումբ	ɑ ˈ k u m b
ակունք	ɑ ˈ k u n k ʰ
ահ	ɑ h
ահա	ɑ ˈ h ɑ
ահաբեկ	ɑ h ɑ ˈ b e k
ահաբեկել	ɑ h ɑ b e ˈ k e l
ահաբեկիչ	ɑ h ɑ b e ˈ k i t ͡ ʃ ʰ
ահաբեկչական	ɑ h ɑ b e k t ͡ ʃ ʰ ɑ ˈ k ɑ n
ահաբեկչություն	ɑ h ɑ b e k t ͡ ʃ ʰ u ˈ t ʰ j u n
ահաբեկվածություն	ɑ h ɑ b e k v ɑ t ͡ s u ˈ t ʰ j u n
ահաբեկվել	ɑ h ɑ b e k ˈ v e l
ահաբեկություն	ɑ h ɑ b e k u ˈ t ʰ j u n
ահաբեկում	ɑ h ɑ b e ˈ k u m
ահաբեր	ɑ h ɑ ˈ b e ɾ
ահագին	ɑ h ɑ ˈ ɡ i n
ահագնանալ	ɑ h ɑ ɡ n ɑ ˈ n ɑ l
ահազանգ	ɑ h ɑ ˈ z ɑ n ɡ
ահազանգել	ɑ h ɑ z ɑ n ˈ ɡ e l
ահազանգում	ɑ h ɑ z ɑ n ˈ ɡ u m
ահազարհուր	ɑ h ɑ z ɑ ɾ ˈ h u ɾ
ահազդ	ɑ ˈ h ɑ z d
ահազդեցիկ	ɑ h ɑ z d e ˈ t ͡ s ʰ i k
ահազդիկ	ɑ h ɑ z ˈ d i k
ահազդու	ɑ h ɑ z ˈ d u
ահահար	ɑ h ɑ ˈ h ɑ ɾ
Ահարոն	ɑ h ɑ ˈ ɾ o n
Ահարոնյան	ɑ h ɑ ɾ o ˈ n j ɑ n
ահեղ	ɑ ˈ h e ʁ
ահռելի	ɑ h r e ˈ l i
Ահրիման	ɑ h ɾ i ˈ m ɑ n
աղ	ɑ ʁ
աղա	ɑ ˈ ʁ ɑ
աղագավ	ɑ ʁ ɑ ˈ ɡ ɑ v
Աղաթոն	ɑ ʁ ɑ ˈ t ʰ o n
աղալ	ɑ ˈ ʁ ɑ l
աղախին	ɑ ʁ ɑ ˈ χ i n
աղաղակ	ɑ ʁ ɑ ˈ ʁ ɑ k
աղաղակել	ɑ ʁ ɑ ʁ ɑ ˈ k e l
աղաման	ɑ ʁ ɑ ˈ m ɑ n
աղամող	ɑ ʁ ɑ ˈ m o ʁ
Աղայան	ɑ ʁ ɑ ˈ j ɑ n
աղանդ	ɑ ˈ ʁ ɑ n d
աղանդավոր	ɑ ʁ ɑ n d ɑ ˈ v o ɾ
աղանդավորական	ɑ ʁ ɑ n d ɑ v o ɾ ɑ ˈ k ɑ n
աղանդավորություն	ɑ ʁ ɑ n d ɑ v o ɾ u ˈ t ʰ j u n
աղանդեր	ɑ ʁ ɑ n ˈ d e ɾ
աղանձ	ɑ ˈ ʁ ɑ n d ͡ z
աղանձել	ɑ ʁ ɑ n ˈ d ͡ z e l
աղաչանք	ɑ ʁ ɑ ˈ t ͡ ʃ ʰ ɑ n k ʰ
աղաչել	ɑ ʁ ɑ ˈ t ͡ ʃ ʰ e l
Աղաջանյան	ɑ ʁ ɑ d ͡ ʒ ɑ ˈ n j ɑ n
աղաջուր	ɑ ʁ ɑ ˈ d ͡ ʒ u ɾ
Աղասի	ɑ ʁ ɑ ˈ s i
աղավաղ	ɑ ʁ ɑ ˈ v ɑ ʁ
աղավաղել	ɑ ʁ ɑ v ɑ ˈ ʁ e l
աղավնի	ɑ ʁ ɑ v ˈ n i
աղատ	ɑ ˈ ʁ ɑ t
աղատել	ɑ ʁ ɑ ˈ t e l
աղարտել	ɑ ʁ ɑ ɾ ˈ t e l
աղաց	ɑ ˈ ʁ ɑ t ͡ s ʰ
աղաք	ɑ ˈ ʁ ɑ k ʰ
Աղաֆոն	ɑ ʁ ɑ ˈ f o n
աղբ	ɑ χ p
աղբաման	ɑ χ p ɑ ˈ m ɑ n
աղբանոց	ɑ χ p ɑ ˈ n o t ͡ s ʰ
աղբարկղ	ɑ χ ˈ p ɑ ɾ k ə ʁ
աղբերակ	ɑ χ p e ˈ ɾ ɑ k
աղբյուս	ɑ χ ˈ p j u s
աղբյուր	ɑ χ ˈ p j u ɾ
աղբյուրակ	ɑ χ p j u ˈ ɾ ɑ k
աղբուն	ɑ χ ˈ p u n
աղբուտ	ɑ χ ˈ p u t
Աղդամ	ɑ ʁ ˈ d ɑ m
աղեբեկ	ɑ ʁ e ˈ b e k
աղեկ	ɑ ˈ ʁ e k
աղեղ	ɑ ˈ ʁ e ʁ
աղեղնավոր	ɑ ʁ e ʁ n ɑ ˈ v o ɾ
Աղեղնավոր	ɑ ʁ e ʁ n ɑ ˈ v o ɾ
աղետ	ɑ ˈ ʁ e t
աղերս	ɑ ˈ ʁ e ɾ s
աղերսանք	ɑ ʁ e ɾ ˈ s ɑ n k ʰ
աղերսել	ɑ ʁ e ɾ ˈ s e l
աղի	ɑ ˈ ʁ i
աղիճ	ɑ ˈ ʁ i t ͡ ʃ
աղիողորմ	ɑ ʁ i o ˈ ʁ o ɾ m
աղիք	ɑ ˈ ʁ i k ʰ
աղլուխ	ɑ ʁ ˈ l u χ
աղխ	ɑ χ χ
աղկաղկ	ɑ χ ˈ k ɑ χ k
Աղձնիք	ɑ ʁ d ͡ z ˈ n i k ʰ
աղճատ	ɑ χ ˈ t ͡ ʃ ɑ t
աղճատել	ɑ χ t ͡ ʃ ɑ ˈ t e l
աղմկել	ɑ ʁ m ə ˈ k e l
աղմկոտ	ɑ ʁ m ə ˈ k o t
աղմուկ	ɑ ʁ ˈ m u k
աղյուս	ɑ ˈ ʁ j u s
աղյուսակ	ɑ ʁ j u ˈ s ɑ k
աղյուսե	ɑ ʁ j u ˈ s e
աղյուսյակ	ɑ ʁ j u ˈ s j ɑ k
աղոթակեր	ɑ ʁ o t ʰ ɑ ˈ k e ɾ
աղոթարար	ɑ ʁ o t ʰ ɑ ˈ ɾ ɑ ɾ
աղոթել	ɑ ʁ o ˈ t ʰ e l
աղոթկեր	ɑ ʁ o t ʰ ˈ k e ɾ
աղոթք	ɑ ˈ ʁ o t ʰ k ʰ
աղոտ	ɑ ˈ ʁ o t
աղորի	ɑ ʁ o ˈ ɾ i
աղորիք	ɑ ʁ o ˈ ɾ i k ʰ
աղջամուղջ	ɑ ʁ d ͡ ʒ ɑ ˈ m u ʁ d ͡ ʒ
Աղջայան	ɑ ʁ d ͡ ʒ ɑ ˈ j ɑ n
աղջիկ	ɑ χ ˈ t ͡ ʃ ʰ i k
աղջություն	ɑ ʁ d ͡ ʒ u ˈ t ʰ j u n
աղվամազ	ɑ ʁ v ɑ ˈ m ɑ z
Աղվան	ɑ ʁ ˈ v ɑ n
աղվան	ɑ ʁ ˈ v ɑ n
Աղվանք	ɑ ʁ ˈ v ɑ n k ʰ
աղվաշ	ɑ ʁ ˈ v ɑ ʃ
աղվես	ɑ ʁ ˈ v e s
աղվեսենի	ɑ ʁ v e s e ˈ n i
աղվոր	ɑ ʁ ˈ v o ɾ
աղտ	ɑ χ t
աղտամուղտ	ɑ χ t ɑ ˈ m u χ t
աղտեղի	ɑ χ t e ˈ ʁ i
աղտոտ	ɑ χ ˈ t o t
աղտոտել	ɑ χ t o ˈ t e l
աղցան	ɑ χ ˈ t ͡ s ʰ ɑ n
աղու	ɑ ˈ ʁ u
աղուն	ɑ ˈ ʁ u n
աղունիկ	ɑ ʁ u ˈ n i k
աղքատ	ɑ χ ˈ k ʰ ɑ t
աղքատները	ɑ χ k ʰ ɑ t ˈ n e ɾ ə
աղքատություն	ɑ χ k ʰ ɑ t u ˈ t ʰ j u n
աճ	ɑ t ͡ ʃ
աճապարել	ɑ t ͡ ʃ ɑ p ɑ ˈ ɾ e l
Աճառյան	ɑ t ͡ ʃ ɑ ˈ r j ɑ n
աճացնել	ɑ t ͡ ʃ ɑ t ͡ s ʰ ˈ n e l
աճել	ɑ ˈ t ͡ ʃ e l
աճեմ	ɑ ˈ t ͡ ʃ e m
Աճեմյան	ɑ t ͡ ʃ e ˈ m j ɑ n
աճեցնել	ɑ t ͡ ʃ e t ͡ s ʰ ˈ n e l
աճյուն	ɑ ˈ t ͡ ʃ j u n
աճպարար	ɑ t ͡ ʃ p ɑ ˈ ɾ ɑ ɾ
աճպարարություն	ɑ t ͡ ʃ p ɑ ɾ ɑ ɾ u ˈ t ʰ j u n
աճռել	ɑ t ͡ ʃ ə ˈ r e l
աճուկ	ɑ ˈ t ͡ ʃ u k
աճուրդ	ɑ ˈ t ͡ ʃ u ɾ t ʰ
ամ	ɑ m
Ամազոն	ɑ m ɑ ˈ z o n
Ամալյա	ɑ m ɑ ˈ l j ɑ
ամայանալ	ɑ m ɑ j ɑ ˈ n ɑ l
ամայի	ɑ m ɑ ˈ j i
աման	ɑ ˈ m ɑ n
ամանակ	ɑ m ɑ ˈ n ɑ k
Ամանոս	ɑ m ɑ ˈ n o s
Ամանոր	ɑ m ɑ ˈ n o ɾ
ամանորյա	ɑ m ɑ n o ˈ ɾ j ɑ
ամաչել	ɑ m ɑ ˈ t ͡ ʃ ʰ e l
ամաչկոտ	ɑ m ɑ t ͡ ʃ ʰ ˈ k o t
ամառ	ɑ ˈ m ɑ r
ամառային	ɑ m ɑ r ɑ ˈ j i n
ամառանոց	ɑ m ɑ r ɑ ˈ n o t ͡ s ʰ
ամառն	ɑ ˈ m ɑ r n
ամառներ	ɑ m ɑ r ˈ n e ɾ
ամարաստան	ɑ m ɑ ɾ ɑ s ˈ t ɑ n
Ամբակում	ɑ m b ɑ ˈ k u m
ամբաստանել	ɑ m b ɑ s t ɑ ˈ n e l
ամբաստանյալ	ɑ m b ɑ s t ɑ ˈ n j ɑ l
ամբաստանք	ɑ m b ɑ s ˈ t ɑ n k ʰ
ամբար	ɑ m ˈ b ɑ ɾ
ամբարիշտ	ɑ m b ɑ ˈ ɾ i ʃ t
ամբարհավաճություն	ɑ m b ɑ ɾ h ɑ v ɑ t ͡ ʃ u ˈ t ʰ j u n
ամբարտակ	ɑ m b ɑ ɾ ˈ t ɑ k
ամբարտավան	ɑ m b ɑ ɾ t ɑ ˈ v ɑ n
ամբարտավանական	ɑ m b ɑ ɾ t ɑ v ɑ n ɑ ˈ k ɑ n
ամբարտավանանալ	ɑ m b ɑ ɾ t ɑ v ɑ n ɑ ˈ n ɑ l
ամբարտավանել	ɑ m b ɑ ɾ t ɑ v ɑ ˈ n e l
ամբարտավանորեն	ɑ m b ɑ ɾ t ɑ v ɑ n o ˈ ɾ e n
ամբարտավանություն	ɑ m b ɑ ɾ t ɑ v ɑ n u ˈ t ʰ j u n
ամբիոն	ɑ m b i ˈ o n
ամբիցիա	ɑ m b i t ͡ s ʰ i ˈ ɑ
ամբիցիոզ	ɑ m b i t ͡ s ʰ i ˈ o z
ամբոխ	ɑ m ˈ b o χ
ամբողջ	ɑ m ˈ b o χ t ͡ ʃ ʰ
ամբողջ թիվ	ɑ m ˈ b o χ t ͡ ʃ ʰ   t ʰ i v
ամբողջություն	ɑ m b o χ t ͡ ʃ ʰ u ˈ t ʰ j u n
ամեհի	ɑ m e ˈ h i
ամեն	ɑ ˈ m e n
ամենա-	ɑ m e ˈ n ɑ
ամենաբարձր	ɑ m e n ɑ ˈ b ɑ ɾ t ͡ s ʰ ə ɾ
ամենագետ	ɑ m e n ɑ ˈ ɡ e t
ամենազոր	ɑ m e n ɑ ˈ z o ɾ
ամենալավ	ɑ m e n ɑ ˈ l ɑ v
ամենակալ	ɑ m e n ɑ ˈ k ɑ l
ամենամեծ	ɑ m e n ɑ ˈ m e t ͡ s
ամենայն	ɑ m e ˈ n ɑ j n
ամենևին	ɑ m e n e ˈ v i n
ամենուր	ɑ m e ˈ n u ɾ
ամենուրեք	ɑ m e n u ˈ ɾ e k ʰ
ամեոբա	ɑ m e o ˈ b ɑ
Ամերիկա	ɑ ˈ m e ɾ i k ɑ
ամերիկական	ɑ m e ɾ i k ɑ ˈ k ɑ n
ամերիկահայ	ɑ m e ɾ i k ɑ ˈ h ɑ j
Ամերիկայի	ɑ m e ɾ i k ɑ ˈ j i
Ամերիկայի Միացյալ Նահանգներ	ɑ m e ɾ i k ɑ ˈ j i   m i ɑ ˈ t ͡ s ʰ j ɑ l   n ɑ h ɑ n ɡ ˈ n e ɾ
ամերիկացի	ɑ m e ɾ i k ɑ ˈ t ͡ s ʰ i
ամերիկյան	ɑ m e ɾ i ˈ k j ɑ n
ամերիկյան ֆուտբոլ	ɑ m e ɾ i ˈ k j ɑ n   f u t ˈ b o l
ամերիկուհի	ɑ m e ɾ i k u ˈ h i
ամերիցիում	ɑ m e ɾ i t ͡ s ʰ i ˈ j u m
ԱՄԷ	ɑ m ə ˈ e
ամիկ	ɑ ˈ m i k
ամիճ	ɑ ˈ m i t ͡ ʃ
ամիս	ɑ ˈ m i s
ամիրա	ɑ m i ˈ ɾ ɑ
Ամիրան	ɑ m i ˈ ɾ ɑ n
Ամիրանյան	ɑ m i ɾ ɑ ˈ n j ɑ n
Ամիրխանյան	ɑ m i ɾ χ ɑ ˈ n j ɑ n
Ամիրյան	ɑ m i ˈ ɾ j ɑ n
ամիրսպասալար	ɑ m i ɾ s p ɑ s ɑ ˈ l ɑ ɾ
ամլիկ	ɑ m ˈ l i k
ամհարերեն	ɑ m h ɑ ɾ e ˈ ɾ e n
Ամման	ɑ m ˈ m ɑ n
ամմեն	ɑ m ˈ m e n
ԱՄՆ	ɑ m ə ˈ n ə
ամնիստիա	ɑ m ˈ n i s t i ɑ
ամոթ	ɑ ˈ m o t ʰ
ամոթույք	ɑ m o ˈ t ʰ u j k ʰ
ամոլ	ɑ ˈ m o l
ամորձակալ	ɑ m o ɾ d ͡ z ɑ ˈ k ɑ l
ամորձապարկ	ɑ m o ɾ d ͡ z ɑ ˈ p ɑ ɾ k
ամորձատել	ɑ m o ɾ d ͡ z ɑ ˈ t e l
ամորձի	ɑ m o ɾ ˈ d ͡ z i
ամորձիք	ɑ m o ɾ ˈ d ͡ z i k ʰ
ամոք	ɑ ˈ m o k ʰ
ամպ	ɑ m p
ամպար	ɑ m ˈ p ɑ ɾ
ամպել	ɑ m ˈ p e l
ամպեղեն	ɑ m p e ˈ ʁ e n
ամպեր	ɑ m ˈ p e ɾ
ամպերի	ɑ m p e ˈ ɾ i
ամպերին	ɑ m p e ˈ ɾ i n
ամպերից	ɑ m p e ˈ ɾ i t ͡ s ʰ
ամպերով	ɑ m p e ˈ ɾ o v
ամպերում	ɑ m p e ˈ ɾ u m
ամպը	ˈ ɑ m p ə
ամպի	ɑ m ˈ p i
ամպին	ɑ m ˈ p i n
ամպից	ɑ m ˈ p i t ͡ s ʰ
ամպն	ˈ ɑ m p ə n
ամպով	ɑ m ˈ p o v
ամպրոպ	ɑ m p ˈ ɾ o p
ամպում	ɑ m ˈ p u m
ամսագիր	ɑ m s ɑ ˈ ɡ i ɾ
ամսական	ɑ m s ɑ ˈ k ɑ n
ամսեկան	ɑ m s e ˈ k ɑ n
Ամստերդամ	ɑ m s t e ɾ ˈ d ɑ m
ամրագոտի	ɑ m ɾ ɑ ɡ o ˈ t i
ամրագրվել	ɑ m ɾ ɑ ɡ ə ɾ ˈ v e l
ամրածածուկ	ɑ m ɾ ɑ t ͡ s ɑ ˈ t ͡ s u k
ամրակ	ɑ m ˈ ɾ ɑ k
ամրակազմ	ɑ m ɾ ɑ ˈ k ɑ z m
ամրան	ɑ m ˈ ɾ ɑ n
ամրապնդում	ɑ m ɾ ɑ p ə n ˈ d u m
ամրոց	ɑ m ˈ ɾ o t ͡ s ʰ
Ամուդարյա	ɑ m u d ɑ ˈ ɾ j ɑ
ամուլ	ɑ ˈ m u l
ամուսին	ɑ m u ˈ s i n
ամուսնալուծություն	ɑ m u s n ɑ l u t ͡ s u ˈ t ʰ j u n
ամուսնանալ	ɑ m u s n ɑ ˈ n ɑ l
ամուսնացած	ɑ m u s n ɑ ˈ t ͡ s ʰ ɑ t ͡ s
ամուսնացնել	ɑ m u s n ɑ t ͡ s ʰ ˈ n e l
ամուսնություն	ɑ m u s n u ˈ t ʰ j u n
ամուր	ɑ ˈ m u ɾ
Ամուր	ɑ ˈ m u ɾ
ամուրի	ɑ m u ˈ ɾ i
Ամուրի	ɑ m u ˈ ɾ i
Ամուրի Նիկոլաևսկ	ɑ m u ˈ ɾ i   n i k o l ɑ ˈ e f s k
ամփոփել	ɑ m p ʰ o ˈ p ʰ e l
ամփոփում	ɑ m p ʰ o ˈ p ʰ u m
Այար Ռաջա	ɑ ˈ j ɑ ɾ   r ɑ ˈ d ͡ ʒ ɑ
այբ	ɑ j b
այբբենարան	ɑ j b b e n ɑ ˈ ɾ ɑ n
այբուբեն	ɑ j b u ˈ b e n
այգ	ɑ j ɡ
այգաբաց	ɑ j ɡ ɑ ˈ b ɑ t ͡ s ʰ
այգեպան	ɑ j ɡ e ˈ p ɑ n
այգեստան	ɑ j ɡ e s ˈ t ɑ n
այգեվետ	ɑ j ɡ e ˈ v e t
այգի	ɑ j ˈ ɡ i
այդ	ɑ j d
այդպես	ɑ j t ˈ p e s
այդտեղ	ɑ j t ˈ t e ʁ
այդուհանդերձ	ɑ j d u h ɑ n ˈ d e ɾ t ͡ s ʰ
այդքան	ɑ j t ˈ k ʰ ɑ n
այժմ	ˈ ɑ j ʒ ə m
այժմիկ	ɑ j ʒ ə ˈ m i k
այժմու	ɑ j ʒ ə ˈ m u
-ային	ɑ ˈ j i n
այլ	ɑ j l
այլախոհ	ɑ j l ɑ ˈ χ o h
այլանդակություն	ɑ j l ɑ n d ɑ k u ˈ t ʰ j u n
այլասիրական	ɑ j l ɑ s i ɾ ɑ ˈ k ɑ n
այլատյաց	ɑ j l ɑ ˈ t j ɑ t ͡ s ʰ
այլատյացություն	ɑ j l ɑ t j ɑ t ͡ s ʰ u ˈ t ʰ j u n
այլափառ	ɑ j l ɑ ˈ p ʰ ɑ r
այլևայլ	ɑ j l e ˈ v ɑ j l
այլևայլություն	ɑ j l e v ɑ j l u ˈ t ʰ j u n
այլևս	ɑ j ˈ l e v ə s
այլընտրանք	ɑ j l ə n t ˈ ɾ ɑ n k ʰ
այլընտրանքային	ɑ j l ə n t ɾ ɑ n k ʰ ɑ ˈ j i n
այլմոլորակային	ɑ j l m o l o ɾ ɑ k ɑ ˈ j i n
այլոց	ɑ j ˈ l o t ͡ s ʰ
այլոք	ɑ j ˈ l o k ʰ
այլք	ɑ j l k ʰ
այծ	ɑ j t ͡ s
Այծեղջյուր	ɑ j t ͡ s e ʁ ˈ d ͡ ʒ j u ɾ
Այծեմնիկ	ɑ j t ͡ s e m ˈ n i k
այծենի	ɑ j t ͡ s e ˈ n i
այծիկ	ɑ j ˈ t ͡ s i k
այծյա	ɑ j ˈ t ͡ s j ɑ
այծյամ	ɑ j ˈ t ͡ s j ɑ m
այծքաղ	ɑ j t ͡ s ˈ k ʰ ɑ ʁ
այմարա	ɑ j m ɑ ˈ ɾ ɑ
այն	ɑ j n
այնպես	ɑ j n ˈ p e s
այնպիսի	ɑ j n p i ˈ s i
այնտեղ	ɑ j n ˈ t e ʁ
այնուամենայնիվ	ɑ j n u ɑ m e n ɑ j ˈ n i v
այնուհետև	ɑ j n u h e ˈ t e v
այնքան	ɑ j n ˈ k ʰ ɑ n
այո	ɑ ˈ j o
այս	ɑ j s
այսբերգ	ɑ j s ˈ b e ɾ ɡ
այսինքն	ɑ j ˈ s i n k ʰ ə n
այսպես	ɑ j s ˈ p e s
այստեղ	ɑ j s ˈ t e ʁ
այստեղ-այնտեղ	ɑ j s t e ʁ ɑ j n ˈ t e ʁ
այստեղացի	ɑ j s t e ʁ ɑ ˈ t ͡ s ʰ i
այսր-	ɑ j s ɾ
Այսրկովկաս	ɑ j s ə ɾ k o f ˈ k ɑ s
այսրկովկասյան	ɑ j s ə ɾ k o f k ɑ ˈ s j ɑ n
այսու	ɑ j ˈ s u
այսուամենայնիվ	ɑ j s u ɑ m e n ɑ j ˈ n i v
այսուհանդերձ	ɑ j s u h ɑ n ˈ d e ɾ t ͡ s ʰ
այսուհետ	ɑ j s u ˈ h e t
այսուհետև	ɑ j s u h e ˈ t e v
այսքան	ɑ j s ˈ k ʰ ɑ n
այսօր	ɑ j ˈ s o ɾ
Այվազյան	ɑ j v ɑ ˈ z j ɑ n
այտ	ɑ j t
այտամորուք	ɑ j t ɑ m o ˈ ɾ u k ʰ
այտուց	ɑ j ˈ t u t ͡ s ʰ
այր	ɑ j ɾ
այրան	ɑ j ˈ ɾ ɑ n
Այրարատ	ɑ j ɾ ɑ ˈ ɾ ɑ t
այրացի	ɑ j ɾ ɑ ˈ t ͡ s ʰ i
այրել	ɑ j ˈ ɾ e l
այրի	ɑ j ˈ ɾ i
այրիանալ	ɑ j ɾ i ɑ ˈ n ɑ l
այրվել	ɑ j ɾ ˈ v e l
այրուկ	ɑ j ˈ ɾ u k
այրուձի	ɑ j ɾ u ˈ d ͡ z i
այրուք	ɑ j ˈ ɾ u k ʰ
այց	ɑ j t ͡ s ʰ
այցելել	ɑ j t ͡ s ʰ e ˈ l e l
այցելություն	ɑ j t ͡ s ʰ e l u ˈ t ʰ j u n
այցեքարտ	ɑ j t ͡ s ʰ e ˈ k ʰ ɑ ɾ t
Այուբյան	ɑ j u ˈ b j ɑ n
-ան	ɑ n
ան	ɑ n
-ան-	ɑ n
ան-	ɑ n
անագ	ɑ ˈ n ɑ ɡ
անագան	ɑ n ɑ ˈ ɡ ɑ n
անագապղինձ	ɑ n ɑ ɡ ɑ p ə ˈ ʁ i n d ͡ z
անագորույն	ɑ n ɑ ɡ o ˈ ɾ u j n
Անադիր	ɑ n ɑ ˈ d i ɾ
անազատություն	ɑ n ɑ z ɑ t u ˈ t ʰ j u n
անազնիվ	ɑ n ɑ z ˈ n i v
անալի	ɑ n ɑ ˈ l i
անախորժ	ɑ n ɑ ˈ χ o ɾ ʒ
-անակ	ɑ ˈ n ɑ k
Անակ	ɑ ˈ n ɑ k
անակնկալ	ɑ n ɑ k ə n ˈ k ɑ l
Անակրեոն	ɑ n ɑ k ɾ e ˈ o n
Անահիտ	ɑ n ɑ ˈ h i t
անաղարտ	ɑ n ɑ ˈ ʁ ɑ ɾ t
անաղի	ɑ n ɑ ˈ ʁ i
անամոթություն	ɑ n ɑ m o t ʰ u ˈ t ʰ j u n
անամոք	ɑ n ɑ ˈ m o k ʰ
անանաս	ɑ n ɑ ˈ n ɑ s
Անանիա	ɑ n ɑ n i ˈ ɑ
անանցողական	ɑ n ɑ n t ͡ s ʰ o ʁ ɑ ˈ k ɑ n
անանուխ	ɑ n ɑ ˈ n u χ
անապատ	ɑ n ɑ ˈ p ɑ t
անապատական	ɑ n ɑ p ɑ t ɑ ˈ k ɑ n
անապեստ	ɑ n ɑ ˈ p e s t
անառիկ	ɑ n ɑ ˈ r i k
անասնաբույժ	ɑ n ɑ s n ɑ ˈ b u j ʒ
Անաստաս	ɑ n ɑ s ˈ t ɑ s
անասուն	ɑ n ɑ ˈ s u n
անատակ	ɑ n ɑ ˈ t ɑ k
Անատոլի	ɑ n ɑ ˈ t o l i
Անատոլիա	ɑ n ɑ t o l i ˈ ɑ
անատոլիական	ɑ n ɑ t o l i ɑ ˈ k ɑ n
անատոմիա	ɑ n ɑ ˈ t o m i ɑ
անարատ	ɑ n ɑ ˈ ɾ ɑ t
անարդար	ɑ n ɑ ɾ ˈ t ʰ ɑ ɾ
անարդարություն	ɑ n ɑ ɾ t ʰ ɑ ɾ u ˈ t ʰ j u n
անարի	ɑ n ɑ ˈ ɾ i
անարխիզմ	ɑ n ɑ ɾ ˈ χ i z m
Անաքսագորաս	ɑ n ɑ k ʰ s ɑ ɡ o ˈ ɾ ɑ s
Անաքսիմանդրոս	ɑ n ɑ k ʰ s i m ɑ n d ˈ ɾ o s
Անաքսիմենես	ɑ n ɑ k ʰ s i m e ˈ n e s
անբաժան	ɑ n b ɑ ˈ ʒ ɑ n
անբան	ɑ n ˈ b ɑ n
անբարյացակամ	ɑ n b ɑ ɾ j ɑ t ͡ s ʰ ɑ ˈ k ɑ m
անբարյացկամ	ɑ n b ɑ ɾ j ɑ t ͡ s ʰ ˈ k ɑ m
անբարոյական	ɑ n b ɑ ɾ o j ɑ ˈ k ɑ n
անբիծ	ɑ n ˈ b i t ͡ s
անբնակ	ɑ n b ə ˈ n ɑ k
անբովանդակ	ɑ n b o v ɑ n ˈ d ɑ k
անգ	ɑ n ɡ
անգամ	ɑ n ˈ k ʰ ɑ m
անգեղ	ɑ n ˈ ɡ e ʁ
անգի	ɑ n ˈ ɡ i
անգինա	ɑ n ˈ ɡ i n ɑ
անգիր	ɑ n ˈ ɡ i ɾ
